氏名,プロフィール
小寺　裕雄,"小寺　裕雄（こてら　ひろお）
比例代表（近畿）選出、自由民主党・無所属の会
昭和三十五年九月滋賀県八日市市に生まれる、同志社大学文学部卒業、会社役員、滋賀県議会議員、滋賀県議会副議長○内閣府大臣政務官○当選三回（48 49 50）
（令和7年3月現在）"
後藤　茂之,"後藤　茂之（ごとう　しげゆき）
小選挙区（長野県第四区）選出、自由民主党・無所属の会
昭和三十年十二月九日東京に生まれる、東京大学法学部卒業○昭和五十五年大蔵省入省、米国ブラウン大学経済学部大学院留学（MA取得）、主税局企画調整室長にて平成七年退官○国土交通大臣政務官、法務副大臣、厚生労働大臣、経済再生担当大臣○自由民主党政務調査会長代理、税制調査会小委員長、「こども・若者」輝く未来創造本部長、社会保障制度調査会長、新型コロナウイルス感染症対策本部座長、日本経済再生本部幹事長、政調副会長七期、政調事務局長五期、与党政策責任者会議、厚労部会長、国会対策副委員長、長野県支部連合会長○衆議院厚労・災害特各委員長、予算・厚労・災害特各委員会筆頭理事、決算行政監視・予算・厚労・地方創生特別・財金・国交・経産・農水各委員会理事○当選八回（42 43 44 46 47 48 49 50）
（令和7年3月現在）"
後藤　祐一,"後藤　祐一（ごとう　ゆういち）
小選挙区（神奈川県第十六区）選出、立憲民主党・無所属
昭和四十四年三月神奈川県横浜市に生まれる、東京大学法学部卒業、通商産業省（現経済産業省）入省。流通政策課課長補佐。平成十七年七月退職○平成二十一年八月衆議院議員初当選○立憲民主党国会対策委員長代理、役員室長、政治改革推進本部副本部長、環境・エネルギー調査会長代理、企業・団体交流委員長代理、鳥獣被害対策検討プロジェクトチーム副座長、デジタル政策プロジェクトチーム座長。神奈川県連副代表・選挙対策委員長○衆議院議院運営委員会理事、予算委員会理事、国家基本政策委員会理事、内閣委員会理事、決算行政監視委員会理事、懲罰委員会理事、政治改革特別委員会理事、情報監視審査会幹事○当選六回（45 46 47 48 49 50）
（令和7年3月現在）"
許斐　亮太郎,"許斐　亮太郎（このみ　りょうたろう）
比例代表（九州）選出、国民民主党・無所属クラブ
昭和四十九年二月福岡県福岡市東区に生まれる、東北大学農学部卒業、東北大学大学院農学研究科修了○NHK報道カメラマン、国会・政治担当デスクを経て、国民民主党福岡県連副代表、国民民主党福岡県第四区総支部長○衆議院農林水産委員会委員、沖縄及び北方問題に関する特別委員会理事○当選一回（50）
（令和7年3月現在）"
小林　茂樹,"小林　茂樹（こばやし　しげき）
比例代表（近畿）選出、自由民主党・無所属の会
昭和三十九年十月奈良県奈良市に生まれる、慶應義塾大学法学部卒業、大和（現りそな）銀行勤務を経て、三和住宅入社、奈良青年会議所第四十三代理事長、三和住宅代表取締役会長、奈良県議会議員、一般社団法人関西住宅産業協会理事長、一般社団法人全国住宅産業協会副会長、社会福祉法人奈良いのちの電話協会理事長、奈良県卓球協会会長、国土交通大臣政務官、環境副大臣兼内閣府副大臣○当選四回（46 48 49 50）
（令和7年3月現在）"
小林　鷹之,"小林　鷹之（こばやし　たかゆき）
小選挙区（千葉県第二区）選出、自由民主党・無所属の会
昭和四十九年十一月千葉県市川市に生まれる、東京大学法学部卒業、ハーバード大学院修了、財務省理財局課長補佐、在米日本大使館一等書記官○防衛大臣政務官、経済安全保障担当大臣、内閣府特命担当大臣（科学技術・宇宙）○自由民主党経済安全保障推進本部長、日・グローバルサウス連携本部長○衆議院経済産業委員会理事、憲法審査会幹事○当選五回（46 47 48 49 50）
（令和7年3月現在）"
小林　史明,"小林　史明（こばやし　ふみあき）
小選挙区（広島県第六区）選出、自由民主党・無所属の会
環境副大臣
昭和五十八年四月富山県高岡市に生まれる、上智大学理工学部卒業○株式会社NTTドコモ社員○デジタル副大臣（兼）内閣府副大臣、内閣府大臣補佐官、総務（兼）内閣府大臣政務官○自由民主党行政改革推進本部事務局長、デジタル社会推進本部事務総長、新しい資本主義実行本部事務局長、青年局長○当選五回（46 47 48 49 50）
（令和7年3月現在）"
小宮山　泰子,"小宮山　泰子（こみやま　やすこ）
小選挙区（埼玉県第七区）選出、立憲民主党・無所属
昭和四十年四月二十五日埼玉県川越市に生まれる、慶應義塾大学商学部卒業、日本大学大学院修士課程修了○埼玉県議会議員、総務委員長、健康福祉副委員長、衆議院議員公設第一秘書。また日本電信電話株式会社社員を経て、川越鳶組合顧問、埼玉県映画協会顧問、裏千家淡交会埼玉県西武支部副支部長、川越市ソフトボール協会顧問、川越市少年野球連盟顧問、川越リトルリーグ会長○衆議院農林水産委員長となり、現在国土交通委員会委員、国家基本政策委員会委員、震災復興・防災・災害対策特別委員会委員○当選八回（43 44 45 46 47 48 49 50）
（令和7年3月現在）"
小森　卓郎,"小森　卓郎（こもり　たくお）
小選挙区（石川県第一区）選出、自由民主党・無所属の会
昭和四十五年五月二十一日千葉県生。東京大学法学部卒業、プリンストン大学大学院修了（公共政策）○財務省主計局主査、防衛省会計課長、金融庁総合政策課長○総務大臣政務官○当選二回（49 50）
（令和7年3月現在）"
小山　千帆,"小山　千帆（こやま　ちほ）
比例代表（東海）選出、立憲民主党・無所属
昭和五十年四月神奈川県に生まれる、富士短期大学経済学部卒業○株式会社島忠、株式会社アール・ティー・ジージャパン、株式会社ニトリ、株式会社LITALICO、川口市議会議員○当選一回（50）
（令和7年3月現在）"
小山　展弘,"小山　展弘（こやま　のぶひろ）
小選挙区（静岡県第三区）選出、立憲民主党・無所属
昭和五十年十二月静岡県小笠郡大須賀町（現掛川市）に生まれる、早稲田大学政治経済学部政治学科卒業、早稲田大学大学院政治学研究科修了（政治学修士）。農林中央金庫勤務（平成十八年退職）。静岡理工科大学講師（平成二十六年退職）、日本労働者協同組合連合会顧問（令和三年退職）、立憲民主党静岡県第三区総支部長○当選四回（45 47 49 50）
（令和7年3月現在）"
近藤　和也,"近藤　和也（こんどう　かずや）
小選挙区（石川県第三区）選出、立憲民主党・無所属
昭和四十八年十二月石川県鹿島郡中能登町に生まれる。京都大学経済学部卒業、野村證券株式会社を経て、現在立憲民主党石川県第三区総支部代表となる○当選四回（45 48 49 50）
（令和7年3月現在）"
近藤　昭一,"近藤　昭一（こんどう　しょういち）
小選挙区（愛知県第三区）選出、立憲民主党・無所属
環境委員長
昭和三十三年五月愛知県名古屋市中村区生まれ、上智大学法学部卒業○中日新聞社入社、事業局文化事業部配属○環境副大臣、国土審議会委員、環境委員会筆頭理事、外務委員会筆頭理事、青少年問題に関する特別委員長、総務委員長、懲罰委員長、立憲民主党副代表等を歴任。現在愛知県ヨット連盟理事、中部日本書道会名誉顧問、東海学生基礎スキー連盟会長、立憲フォーラム代表○当選十回（41 42 43 44 45 46 47 48 49 50）
（令和7年3月現在）"
