No,氏名,ふりがな,会派,選挙区,当選回数,生年月日,表面,本質,意思決定,隠れ,希望,プロフィール
149,櫛渕 万里君,くしぶち まり,れ新,（比）東京,3,1967/10/15,くろひょう,虎,こじか,チーター,たぬき,"櫛渕 万里（くしぶち まり）
 比例代表（東京都）選出、れいわ新選組
 一九六七年、群馬県沼田市生まれ。立教大学卒業。国際交流NGOピースボートに十七年勤務し、共同代表および事務局長。世界八十カ国地域で人道支援や国際協力、環境保護などに従事する。法政大学国連グローバル・コンパクト研究センター共同代表。明治学院大学国際平和研究所（PRIME）客員研究員。二〇〇九年に衆議院議員に初当選。その後、民主党および民進党東京都第二十三区総支部長。一般社団法人全国ご当地エネルギー協会事務局長。れいわ新選組東京都第二十二区総支部長および党本部職員を経て、二〇二二年に衆議院議員に再選○当選三回（45 49繰 50）
 （令和7年3月現在）"
150,工藤 彰三君,くどう しょうぞう,自民,（比）東海,5,1964/12/8,猿,ペガサス,ひつじ,ゾウ,ひつじ,"工藤 彰三（くどう しょうぞう）
 比例代表（東海）選出、自由民主党・無所属の会
 昭和三十九年十二月愛知県名古屋市熱田区に生まれる、中央大学商学部卒業、名古屋市会議員○内閣府副大臣、国土交通大臣政務官○自由民主党内閣第一部会長○衆内閣委員会理事、災害対策特別委員会理事、国土交通委員、経済産業委員○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
151,国定 勇人君,くにさだ いさと,自民,（比）北陸信越,2,1972/8/30,ゾウ,狼,ライオン,狼,ペガサス,"国定 勇人（くにさだ いさと）
 比例代表（北陸信越）選出、自由民主党・無所属の会
 国土交通大臣政務官、内閣府大臣政務官、復興大臣政務官
 昭和四十七年八月東京都千代田区神保町に生まれる、一橋大学商学部卒業、総務省課長補佐、三条市長、環境大臣政務官、国交大臣政務官兼内閣府大臣政務官兼復興大臣政務官○当選二回（49 50）
 （令和7年3月現在）"
152,国光 あやの君,くにみつ あやの,自民,（比）北関東,3,1979/3/20,ひつじ,たぬき,チーター,くろひょう,虎,"国光 あやの（くにみつ あやの）
 比例代表（北関東）選出、自由民主党・無所属の会
 昭和五十四年三月山口県に生まれる、長崎大学医学部卒業、米国カリフォルニア大学ロサンゼルス校公衆衛生大学院修士課程修了、東京医科歯科大学大学院博士課程修了○医師、医学博士。国立病院機構災害医療センター・国立病院機構東京医療センター医師。厚生労働省老健局老人保健課主査、保険局医療課課長補佐○自由民主党文部科学部会副部会長、茨城県第六選挙区支部長○衆議院経済産業委員、総務委員、東日本大震災復興・防災・災害対策に関する特別委員○当選三回（48 49 50）
 （令和7年3月現在）"
153,栗原 渉君,くりはら わたる,自民,福岡5,1,1965/9/27,狼,ペガサス,子守熊,たぬき,ゾウ,"栗原 渉（くりはら わたる）
 小選挙区（福岡県第五区）選出、自由民主党・無所属の会
 昭和四十年九月二十七日福岡県朝倉市に生まれる、東京国際大学教養学部卒業○衆議院議員太田誠一秘書、福岡県議会議員（四期）、福岡県議会農林水産常任委員会委員長、福岡県議会議長○福岡県樹苗農業協同組合組合長、福岡県遺族連合会副会長・青年部活動推進部長○当選一回（50）
 （令和7年3月現在）"
154,黒岩 宇洋君,くろいわ たかひろ,立憲,新潟3,4（参1）,1966/10/13,ひつじ,チーター,猿,狼,チーター,"黒岩 宇洋（くろいわ たかひろ）
 小選挙区（新潟県第三区）選出、立憲民主党・無所属
 昭和四十一年十月十三日生まれ。新潟県大和町立浦佐小学校、同大和中学校、新潟県立六日町高校を経て、同六十年東京大学教養学部文科Ｉ類に入学、同六十二年同法学部進学後、平成三年中退○平成二年大学在学中に（財）住宅産業研修財団に就職。同十三年（株）日本アビリティーズ社に入社○同十四年参議院新潟県選挙区初当選、同十八年参議院沖縄及び北方問題に関する特別委員長に就任○同二十一年衆議院選挙新潟三区から初当選、法務大臣政務官など○当選四回（45 47 48 50）参一回（19補）
 （令和7年3月現在）"
155,黒田 征樹君,くろだ まさき,維新,大阪16,1,1979/12/20,猿,ライオン,たぬき,チーター,ひつじ,"黒田 征樹（くろだ まさき）
 小選挙区（大阪府第十六区）選出、日本維新の会
 昭和五十四年十二月大阪府堺市に生まれる、堺市立登美丘中学校卒業○会社員、会社役員、堺市議会議員四期○衆議院総務委員会委員、衆議院経済産業委員会委員○当選一回（50）
 （令和7年3月現在）"
156,玄葉 光一郎君,げんば こういちろう,無,福島2,11,1964/5/20,虎,虎,たぬき,ひつじ,猿,"衆議院副議長
 玄葉 光一郎（げんば こういちろう）
 小選挙区（福島県第二区）選出、無所属
 昭和三十九年福島県田村市に生まれる、上智大学法学部卒業○松下政経塾塾員○福島県議会議員○衆議院副議長○外務大臣、国家戦略担当、宇宙開発担当、公務員制度改革担当国務大臣、内閣府特命担当大臣（「新しい公共」・少子化対策・男女共同参画・科学技術政策）○民主党「次の内閣」総務大臣、選挙対策委員長、幹事長代理、分権調査会長、政策調査会長○衆議院青少年問題に関する特別委員長、財務金融委員長、決算行政監視委員長○平成三十年五月永年在職議員として衆議院より表彰される○当選十一回（40 41 42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
157,源馬 謙太郎君,げんま けんたろう,立憲,静岡8,3,1972/12/21,狼,ひつじ,狼,くろひょう,くろひょう,"源馬 謙太郎（げんま けんたろう）
 小選挙区（静岡県第八区）選出、立憲民主党・無所属
 昭和四十七年十二月静岡県浜松市舞阪町に生まれる、成蹊大学法学部卒業、アメリカン大学大学院卒業○カンボジア小型武器回収プロジェクト、松下政経塾、静岡県議会議員○当選三回（48 49 50）
 （令和7年3月現在）"
158,小池 正昭君,こいけ まさあき,自民,千葉10,1,1966/9/18,虎,こじか,チーター,狼,こじか,"小池 正昭（こいけ まさあき）
 小選挙区（千葉県第十区）選出、自由民主党・無所属の会
 昭和四十一年九月千葉県成田市に生まれる、日本大学大学院理工学研究科修士課程修了○成田市議会議員、千葉県議会議員○当選一回（50）
 （令和7年3月現在）"
159,小泉 進次郎君,こいずみ しんじろう,自民,神奈川11,6,1981/4/14,ひつじ,くろひょう,チーター,ライオン,ペガサス,"小泉 進次郎（こいずみ しんじろう）
 小選挙区（神奈川県第十一区）選出、自由民主党・無所属の会
 昭和五十六年四月神奈川県横須賀市に生まれる、関東学院大学経済学部卒業、米国コロンビア大学大学院政治学部修了○米国戦略国際問題研究所研究員、衆議院議員秘書○内閣府大臣政務官、復興大臣政務官、環境大臣、内閣府特命担当大臣（原子力防災）○自由民主党神奈川県第十一選挙区支部長、青年局長、農林部会長、副幹事長、厚労部会長、総務会長代理、国会対策委員会副委員長、選挙対策委員長○衆議院安全保障委員長○当選六回（45 46 47 48 49 50）
 （令和7年3月現在）"
160,小泉 龍司君,こいずみ りゅうじ,自民,埼玉11,8,1952/9/17,ゾウ,猿,くろひょう,狼,猿,"小泉 龍司（こいずみ りゅうじ）
 小選挙区（埼玉県第十一区）選出、自由民主党・無所属の会
 昭和二十七年九月東京都に生まれる、東京大学法学部卒業○大蔵省勤務、コロンビア大学大学院客員研究員○大蔵省銀行局金融市場室長、大蔵省証券局調査室長となる○前法務大臣○党国際局長○衆議院財務金融委員○著書「日本の進路を拓く」○当選八回（42 43 45 46 47 48 49 50）
 （令和7年3月現在）"
161,神津 たけし君,こうづ たけし,立憲,長野3,2,1977/1/21,こじか,猿,くろひょう,猿,こじか,"神津 たけし（こうづ たけし）
 小選挙区（長野県第三区）選出、立憲民主党・無所属
 昭和五十二年一月神奈川県鎌倉市に生まれる、政策研究大学院大学修了、元JICA企画調査員（南アフリカ、ケニア、チュニジア、コートジボワール、ルワンダ駐在）、アフリカ開発銀行アドバイザー○立憲民主党長野三区総支部長○当選二回（49 50）
 （令和7年3月現在）"
162,河野 太郎君,こうの たろう,自民,神奈川15,10,1963/1/10,くろひょう,くろひょう,チーター,子守熊,くろひょう,"河野 太郎（こうの たろう）
 小選挙区（神奈川県第十五区）選出、自由民主党・無所属の会
 昭和三十八年一月十日、神奈川県平塚市出身、米国ジョージタウン大学卒業○会社員、株式会社湘南ベルマーレ代表取締役会長○外務大臣、防衛大臣、国家公安委員会委員長、デジタル大臣、行政改革担当大臣、国家公務員制度担当大臣、ワクチン接種推進担当大臣、デジタル行財政改革担当大臣、デジタル田園都市国家構想担当大臣、内閣府特命担当大臣（防災、規制改革、沖縄及び北方対策、消費者及び食品安全、デジタル改革）○衆議院外務委員長○自由民主党神奈川県連会長、国際局長、行革推進本部長、広報本部長○当選十回（41 42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
